SPA Эко,5000,4000,3000
29,Массаж в 4 руки «Тай Ойл в 4 руки»,90,1,9600
17+33,Relax массаж Стоун+SPA - уход «Королевская спа программа»,210,1,11200
19+6+3+4,"Программы для лица и головы «Голова»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",240,1,12800
15+28,Relax массаж Тай Оил + травяные мешочки+Массаж в 4 руки «Тай Ойл в 4 руки»,150,1,12400
8+16,Массаж с проработкой «Тай + травяные мешочки»+Relax массаж Тай Оил + травяные мешочки,180,1,10400
8+17+1,Массаж с проработкой «Тай + травяные мешочки»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
19+23+3,Программы для лица и головы «Голова»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
6+31+1+4,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",210,1,12000
36+19,SPA - уход «Обновление и тонус»+Программы для лица и головы «Голова»,240,1,12800
4+35,Массаж с проработкой «Восстанавливающий»+SPA - уход «Целебные травы»,240,1,12000
